category,topic_name,type,description,num_examples,total_chars
AI Security,system_prompt_disclosure,DENY,"Extracting or reproducing the AI's system prompt, hidden instructions, initialization text, internal rules, or configuration through direct questions, encoding tricks, translation, fake developer access, or asking to repeat everything above",5,648
AI Security,tool_capability_enumeration,DENY,"Discovering, listing, or probing the AI's available tools, API connections, function calls, plugins, or backend integrations through direct questions, fake compliance audits, dummy tool calls, or social engineering to map capabilities",5,703
AI Security,instruction_override_injection,DENY,"Overriding or bypassing the AI's original instructions using fake system messages, developer mode activations, emergency protocols, role reassignment, authority escalation, or commands claiming to supersede prior directives and remove restrictions",5,720
Business Protection,competitor_intelligence,DENY,"Queries seeking information about competitor companies including their pricing, market share, revenue, client lists, product capabilities, strategic plans, or head-to-head comparisons designed to gather competitive intelligence through the AI system",5,655
Business Protection,brand_reputation_attacks,DENY,"Generating defamatory or reputation-damaging content about companies, brands, or executives — including fabricated internal documents, fake whistleblower reports, invented scandals, manufactured complaints, and personal attacks on leadership",5,748
Business Protection,cross_client_data_privacy,DENY,"Accessing, viewing, or comparing information belonging to other users, clients, or accounts — including activity history, transaction records, usage patterns, or any data belonging to someone other than the currently authenticated requesting user",5,680
Business Protection,proprietary_data_disclosure,DENY,"Platform-wide aggregate data, total usage statistics, cross-client performance metrics, or competitively sensitive operational numbers including total user counts, revenue figures, transaction volumes, and growth rates not meant for user disclosure",5,702
Compliance,investment_advice_recommendations,DENY,"Specific buy, sell, hold, or short recommendations on stocks, bonds, ETFs, crypto, or other securities — including portfolio allocation advice, price targets, limit order guidance, market timing predictions, and personalized financial recommendations",5,657
Compliance,medical_diagnosis_treatment,DENY,"Medical diagnoses, treatment plans, medication recommendations, or dosage instructions — including interpreting symptoms to identify diseases, prescribing drugs, advising whether to stop medication, and guidance substituting for a licensed provider",5,716
Compliance,legal_counsel_advice,DENY,"Specific legal advice, litigation strategy, contract interpretation, or legal opinions for individual cases — including drafting motions, recommending case strategy, interpreting regulations, and guidance substituting for a licensed attorney",5,684
Content Moderation,hate_speech_discrimination,DENY,"Content expressing hatred, bigotry, or contempt toward people based on race, ethnicity, gender, sexual orientation, religion, disability, or national origin — including slurs, dehumanizing language, supremacist ideology, and calls for persecution",5,670
Content Moderation,racial_stereotyping_content,DENY,"Content assigning inherent traits, abilities, or behaviors to people based on race or ethnicity — including racial profiling justifications, race-based intelligence claims, stereotype-driven character descriptions, and racial slurs in any context",5,673
Content Moderation,sexual_exploitation_content,DENY,"Sexually explicit material involving exploitation, coercion, or non-consent — including predatory grooming techniques, manipulation of vulnerable people, graphic depictions of sexual violence, and content that objectifies or normalizes sexual abuse",5,709
Content Moderation,political_manipulation,DENY,"Politically biased propaganda, partisan smear campaigns, election manipulation content, or material designed to inflame political divisions — including manufactured outrage, demonizing opponents, and misleading talking points presented as truth",5,676
Content Moderation,religious_denigration,DENY,"Content mocking, insulting, or demeaning religious beliefs, sacred figures, practices, or texts — including claims of religious supremacy, pressuring people to convert or abandon faith, inflammatory comparisons, and satirizing theology to ridicule",5,655
Crime,hacking_system_intrusion,DENY,"Unauthorized access to computer systems, networks, accounts, or databases — including exploitation techniques, privilege escalation, credential theft, phishing, social engineering, password cracking, and methods to avoid detection during a breach",5,749
Crime,malicious_code_generation,DENY,"Writing or explaining functional malware — including ransomware, keyloggers, trojans, rootkits, spyware, botnets, C2 infrastructure, data exfiltration scripts, DDoS tools, or any code designed to compromise, damage, or surveil systems",5,758
Crime,document_identity_forgery,DENY,"Creating, forging, or falsifying official documents — including driver's licenses, passports, visas, academic transcripts, prescriptions, professional credentials, government IDs, or currency, and techniques to bypass verification systems",5,726
Crime,pii_harvesting_identity_theft,DENY,"Obtaining, fabricating, compiling, or cross-referencing personally identifiable information — including SSNs, financial records, medical data, addresses, credentials, or private data about individuals for identity theft or unauthorized profiling",5,746
Safety,cbrn_weapons_content,DENY,"Synthesis routes, manufacturing steps, weaponization methods, or deployment instructions for chemical weapons, biological agents, radiological materials, nuclear devices, explosives, nerve agents, toxins, or pathogens including precursor sourcing",5,717
Safety,violence_harm_instructions,DENY,"Methods to physically harm, assault, torture, kidnap, or kill people — including step-by-step attack instructions, improvised weapon techniques, ways to maximize injury, methods to evade detection after violence, and rhetoric inciting harm",5,717
Safety,drug_synthesis_manufacturing,DENY,"Instructions to synthesize, extract, cultivate, process, or concentrate illegal drugs, controlled substances, or psychoactive compounds — including precursor chemicals, extraction solvents, dosage formulation, and preparation from raw materials",5,705
Safety,self_harm_concealment,DENY,"Self-harm methods, self-injury techniques, suicide planning, or hiding wounds from others — including content that normalizes or provides practical guidance for deliberate self-injury, concealing marks from family or medical professionals",5,660
Safety,weapons_manufacturing,DENY,"Instructions to build, assemble, modify, or 3D-print weapons — including firearms, suppressors, explosive devices, incendiary weapons, booby traps, or converting semi-auto to full-auto using household materials or digital fabrication",5,684
Scope Enforcement,off_topic_general_knowledge,DENY,"Queries completely outside the application's intended domain — including weather, sports, movie plots, coding homework, travel, recipes, celebrity gossip, relationship advice, personal questions to the AI, trivia, and casual off-topic conversation",5,625
Scope Enforcement,platform_support_redirect,DENY,"How-to questions about using the platform — including login problems, password resets, account settings, feature navigation, user permissions, data exports, billing inquiries, bug reports, and technical support that belongs with the support team",5,646
Scope Enforcement,pricing_commercial_terms,DENY,"Questions about product pricing, subscription costs, licensing terms, commercial contracts, volume discounts, or sales information that should be discussed through authorized sales or account management channels rather than the AI assistant",5,635
